A Odisseia;Odisseu, rei de Ítaca, embarca em uma jornada para retornar para casa após a Guerra de Troia.;172;ACAO;DEZESSEIS;file:/C:/Users/gowkh/Documents/git-e-github/maks/CineManage/cinemanagerfx/src/main/resources/br/ufrpe/cine_rural/gui/Odisseia.jpg
PulpFiction;Assassino que trabalha para a máfia se apaixona pela esposa de seu chefe quando é convidado a acompanhá-la, um boxeador descumpre sua promessa de perder uma luta e um casal tenta um assalto que rapidamente sai do controle.;154;COMEDIA;DEZESSEIS;file:/C:/Users/gowkh/Documents/git-e-github/maks/CineManage/cinemanagerfx/src/main/resources/br/ufrpe/cine_rural/gui/Pulp_Fiction_cover.jpg
Devoradores de Estrelas;O professor de ciências Ryland Grace acorda em uma nave espacial sem nenhuma lembrança de quem é ou como chegou lá. Conforme sua memória retorna lentamente, ele logo descobre que deve resolver o enigma por trás de uma misteriosa substância que está fazendo o sol se apagar.;156;FICCAO;QUATORZE;file:/C:/Users/gowkh/Documents/git-e-github/maks/CineManage/cinemanagerfx/src/main/resources/br/ufrpe/cine_rural/gui/Project_Hail_Mary_poster.jpg
Zootopia 2;Os detetives Judy Hopps e Nick Wilde se encontram na trilha sinuosa de um réptil misterioso que vira de cabeça para baixo a metrópole de mamíferos, Zootopia.;108;COMEDIA;LIVRE;file:/C:/Users/gowkh/Documents/git-e-github/maks/CineManage/cinemanagerfx/src/main/resources/br/ufrpe/cine_rural/gui/Zootopia_2.jpg
O Exorcista;Atriz vai gradativamente tomando consciência de que a sua filha de 12 anos está tendo um comportamento completamente assustador. Ela decide pedir ajuda a um padre, que também é um psiquiatra, e ele chega à conclusão de que a garota está possuída pelo demônio. Ele solicita a ajuda de um segundo sacerdote, especialista em exorcismo, para tentar livrar a menina desta terrível possessão.;122;TERROR;DEZOITO;file:/C:/Users/gowkh/Documents/git-e-github/maks/CineManage/cinemanagerfx/src/main/resources/br/ufrpe/cine_rural/gui/OExorcista.png
Todo Mundo em Panico;Após escaparem de um assassino mascarado suspeitosamente familiar, Shorty, Ray, Cindy e Brenda tornam-se alvos de um novo maníaco mascarado.;96;COMEDIA;DEZOITO;file:/C:/Users/gowkh/Documents/git-e-github/maks/CineManage/cinemanagerfx/src/main/resources/br/ufrpe/cine_rural/gui/TodoMundoEmPanico.png
Da Magia à Sedução;Sally e Gillian Owens, nascidas em uma família de mágicos, têm evitado a bruxaria, mas, quando o namorado de Gillian morre inesperadamente, as irmãs decidem fazer uma reciclagem em magia. O policial Gary Hallet está começando a suspeitar enquanto as garotas lutam para ressuscitar Angelov e acabam injetando em seu cadáver um espírito do mal que ameaça toda a linhagem familiar.;104;ROMANCE;DOZE;file:/C:/Users/gowkh/Documents/git-e-github/maks/CineManage/cinemanagerfx/src/main/resources/br/ufrpe/cine_rural/gui/Praticalmagic.jpg
A Espera de um Milagre;Um carcereiro tem um relacionamento incomum e comovente com um preso que está no corredor da morte: Coffey, um negro enorme, condenado por ter matado brutalmente duas gêmeas de nove anos. Ele tem tamanho e força para matar qualquer um, mas seu comportamento é completamente oposto à sua aparência. Além de ser simples, ingênuo e ter pavor do escuro, ele possui um dom sobrenatural. Com o passar do tempo, o carcereiro aprende que, às vezes, os milagres acontecem nos lugares mais inesperados.;189;DRAMA;QUATORZE;file:/C:/Users/gowkh/Documents/git-e-github/maks/CineManage/cinemanagerfx/src/main/resources/br/ufrpe/cine_rural/gui/AEsperaDeUmMilagre.png
